code	term	range	group
8144/0	Adenoma, intestinal type	814-838	Adenomas and adenocarcinomas
8144/3	Adenocarcinoma, intestinal type	814-838	Adenomas and adenocarcinomas
8145/3	Carcinoma, diffuse type	814-838	Adenomas and adenocarcinomas
8146/0	Monomorphic adenoma	814-838	Adenomas and adenocarcinomas
8147/0	Basal cell adenoma	814-838	Adenomas and adenocarcinomas
8147/3	Basal cell adenocarcinoma	814-838	Adenomas and adenocarcinomas
8148/0	Glandular intraepithelial neoplasia, low grade	814-838	Adenomas and adenocarcinomas
8148/2	Glandular intraepithelial neoplasia, high grade	814-838	Adenomas and adenocarcinomas
8149/0	Canalicular adenoma	814-838	Adenomas and adenocarcinomas
8150/0	Pancreatic neuroendocrine microadenoma	814-838	Adenomas and adenocarcinomas
8150/3	Pancreatic neuroendocrine tumor, nonfunctioning	814-838	Adenomas and adenocarcinomas
8151/3	Insulinoma, NOS	814-838	Adenomas and adenocarcinomas
8152/3	Glucagonoma, NOS	814-838	Adenomas and adenocarcinomas
8153/3	Gastrinoma, NOS	814-838	Adenomas and adenocarcinomas
8154/3	Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)	814-838	Adenomas and adenocarcinomas
8155/3	Vipoma, NOS	814-838	Adenomas and adenocarcinomas
8156/3	Somatostatinoma, NOS	814-838	Adenomas and adenocarcinomas
8158/3	ACTH-producing tumor	814-838	Adenomas and adenocarcinomas
8160/0	Bile duct adenoma	814-838	Adenomas and adenocarcinomas
8160/3	Cholangiocarcinoma	814-838	Adenomas and adenocarcinomas
8161/0	Bile duct cystadenoma	814-838	Adenomas and adenocarcinomas
8161/3	Bile duct cystadenocarcinoma	814-838	Adenomas and adenocarcinomas
8162/3	Klatskin tumor	814-838	Adenomas and adenocarcinomas
8163/0	Pancreatobiliary neoplasm, non-invasive	814-838	Adenomas and adenocarcinomas
8163/2	Papillary neoplasm, pancreatobiliary type, with high grade intraepithelial neoplasia	814-838	Adenomas and adenocarcinomas
8163/3	Pancreatobiliary type carcinoma	814-838	Adenomas and adenocarcinomas
8170/0	Liver cell adenoma	814-838	Adenomas and adenocarcinomas
8170/3	Hepatocellular carcinoma, NOS	814-838	Adenomas and adenocarcinomas
