code	term	range	group
8480/6	Pseudomyxoma peritonei	844-849	Cystic, mucinous and serous neoplasms
8481/3	Mucin-producing adenocarcinoma	844-849	Cystic, mucinous and serous neoplasms
8482/3	Mucinous carcinoma, gastric type	844-849	Cystic, mucinous and serous neoplasms
8490/3	Signet ring cell carcinoma	844-849	Cystic, mucinous and serous neoplasms
8490/6	Metastatic signet ring cell carcinoma	844-849	Cystic, mucinous and serous neoplasms
8500/2	Intraductal carcinoma, noninfiltrating, NOS	850-854	Ductal and lobular neoplasms
8500/3	Infiltrating duct carcinoma, NOS	850-854	Ductal and lobular neoplasms
8501/2	Comedocarcinoma, noninfiltrating	850-854	Ductal and lobular neoplasms
8501/3	Comedocarcinoma, NOS	850-854	Ductal and lobular neoplasms
8502/3	Secretory carcinoma	850-854	Ductal and lobular neoplasms
8503/0	Intraductal papilloma	850-854	Ductal and lobular neoplasms
8503/2	Noninfiltrating intraductal papillary adenocarcinoma	850-854	Ductal and lobular neoplasms
8503/3	Intraductal papillary adenocarcinoma with invasion	850-854	Ductal and lobular neoplasms
8504/0	Intracystic papillary adenoma	850-854	Ductal and lobular neoplasms
8504/2	Encapsulated papillary carcinoma	850-854	Ductal and lobular neoplasms
8504/3	Encapsulated papillary carcinoma with invasion	850-854	Ductal and lobular neoplasms
8505/0	Intraductal papillomatosis, NOS	850-854	Ductal and lobular neoplasms
8506/0	Adenoma of nipple	850-854	Ductal and lobular neoplasms
8507/2	Intraductal micropapillary carcinoma	850-854	Ductal and lobular neoplasms
8507/3	Invasive micropapillary carcinoma of breast	850-854	Ductal and lobular neoplasms
8508/3	Cystic hypersecretory carcinoma	850-854	Ductal and lobular neoplasms
8509/2	Solid papillary carcinoma in situ	850-854	Ductal and lobular neoplasms
8509/3	Solid papillary carcinoma with invasion	850-854	Ductal and lobular neoplasms
8510/3	Medullary carcinoma, NOS	850-854	Ductal and lobular neoplasms
8512/3	Medullary carcinoma with lymphoid stroma	850-854	Ductal and lobular neoplasms
8513/3	Atypical medullary carcinoma	850-854	Ductal and lobular neoplasms
8514/3	Duct carcinoma, desmoplastic type	850-854	Ductal and lobular neoplasms
8519/2	Lobular carcinoma in situ, pleomorphic	850-854	Ductal and lobular neoplasms
8520/2	Lobular carcinoma in situ, NOS	850-854	Ductal and lobular neoplasms
8520/3	Lobular carcinoma, NOS	850-854	Ductal and lobular neoplasms
8521/3	Infiltrating ductular carcinoma	850-854	Ductal and lobular neoplasms
8522/2	Intraductal carcinoma and lobular carcinoma in situ	850-854	Ductal and lobular neoplasms
8522/3	Infiltrating duct and lobular carcinoma	850-854	Ductal and lobular neoplasms
8523/3	Infiltrating duct mixed with other types of carcinoma	850-854	Ductal and lobular neoplasms
8524/3	Infiltrating lobular mixed with other types of carcinoma	850-854	Ductal and lobular neoplasms
8525/3	Polymorphous adenocarcinoma	850-854	Ductal and lobular neoplasms
8530/3	Inflammatory carcinoma	850-854	Ductal and lobular neoplasms
8540/3	Paget disease, mammary	850-854	Ductal and lobular neoplasms
8541/3	Paget disease and infiltrating duct carcinoma of breast	850-854	Ductal and lobular neoplasms
8542/3	Paget disease, extramammary	850-854	Ductal and lobular neoplasms
8543/3	Paget disease and intraductal carcinoma of breast	850-854	Ductal and lobular neoplasms
8550/0	Acinar cell adenoma	855	Acinar cell neoplasms
8550/1	Acinar cell tumor	855	Acinar cell neoplasms
8550/3	Acinar cell carcinoma	855	Acinar cell neoplasms
8551/3	Acinar cell cystadenocarcinoma	855	Acinar cell neoplasms
8552/3	Mixed acinar-ductal carcinoma	855	Acinar cell neoplasms
8560/0	Mixed squamous cell and glandular papilloma	856-857	Complex epithelial neoplasms
8560/3	Adenosquamous carcinoma	856-857	Complex epithelial neoplasms
8561/0	Adenolymphoma	856-857	Complex epithelial neoplasms
8562/3	Epithelial-myoepithelial carcinoma	856-857	Complex epithelial neoplasms
8563/0	Lymphadenoma	856-857	Complex epithelial neoplasms
8570/3	Adenocarcinoma with squamous metaplasia	856-857	Complex epithelial neoplasms
8571/3	Adenocarcinoma with cartilaginous and osseous metaplasia	856-857	Complex epithelial neoplasms
8572/3	Adenocarcinoma with spindle cell metaplasia	856-857	Complex epithelial neoplasms
8573/3	Adenocarcinoma with apocrine metaplasia	856-857	Complex epithelial neoplasms
8574/3	Adenocarcinoma with neuroendocrine differentiation	856-857	Complex epithelial neoplasms
8575/3	Metaplastic carcinoma, NOS	856-857	Complex epithelial neoplasms
8576/3	Hepatoid adenocarcinoma	856-857	Complex epithelial neoplasms
8580/0	Microscopic thymoma	858	Thymic epithelial neoplasms
8580/1	Micronodular thymoma with lymphoid stroma	858	Thymic epithelial neoplasms
8580/3	Thymoma, NOS	858	Thymic epithelial neoplasms
8581/3	Thymoma, type A	858	Thymic epithelial neoplasms
8582/3	Thymoma, type AB	858	Thymic epithelial neoplasms
8583/3	Thymoma, type B1	858	Thymic epithelial neoplasms
8584/3	Thymoma, type B2	858	Thymic epithelial neoplasms
8585/3	Thymoma, type B3	858	Thymic epithelial neoplasms
8586/3	Thymic carcinoma, NOS	858	Thymic epithelial neoplasms
8587/0	Ectopic hamartomatous thymoma	858	Thymic epithelial neoplasms
8588/3	Spindle epithelial tumor with thymus-like element	858	Thymic epithelial neoplasms
8589/3	Intrathyroid thymic carcinoma	858	Thymic epithelial neoplasms
8590/0	Sex cord-stromal tumor, benign	859-867	Specialized gonadal neoplasms
8590/1	Sex cord-gonadal stromal tumor, NOS	859-867	Specialized gonadal neoplasms
8591/1	Sex cord-gonadal stromal tumor, incompletely differentiated	859-867	Specialized gonadal neoplasms
8592/1	Sex cord-gonadal stromal tumor, mixed forms	859-867	Specialized gonadal neoplasms
8593/1	Stromal tumor with minor sex cord elements	859-867	Specialized gonadal neoplasms
8594/1	Mixed germ cell-sex cord-stromal tumor, NOS	859-867	Specialized gonadal neoplasms
8600/0	Thecoma, NOS	859-867	Specialized gonadal neoplasms
8600/3	Thecoma, malignant	859-867	Specialized gonadal neoplasms
8601/0	Thecoma, luteinized	859-867	Specialized gonadal neoplasms
8602/0	Sclerosing stromal tumor	859-867	Specialized gonadal neoplasms
8610/0	Luteoma, NOS	859-867	Specialized gonadal neoplasms
8620/1	Adult granulosa cell tumor of testis	859-867	Specialized gonadal neoplasms
8620/3	Adult granulosa cell tumor of ovary	859-867	Specialized gonadal neoplasms
8621/1	Granulosa cell-theca cell tumor	859-867	Specialized gonadal neoplasms
8622/0	Granulosa cell tumor of the testis, juvenile	859-867	Specialized gonadal neoplasms
8622/1	Granulosa cell tumor, juvenile	859-867	Specialized gonadal neoplasms
8623/1	Sex cord tumor with annular tubules	859-867	Specialized gonadal neoplasms
8630/0	Androblastoma, benign	859-867	Specialized gonadal neoplasms
8630/1	Androblastoma, NOS	859-867	Specialized gonadal neoplasms
8630/3	Androblastoma, malignant	859-867	Specialized gonadal neoplasms
8631/0	Sertoli-Leydig cell tumor, well differentiated	859-867	Specialized gonadal neoplasms
8631/1	Sertoli-Leydig cell tumor of intermediate differentiation	859-867	Specialized gonadal neoplasms
8631/3	Sertoli-Leydig cell tumor, poorly differentiated	859-867	Specialized gonadal neoplasms
8632/1	Gynandroblastoma	859-867	Specialized gonadal neoplasms
8633/1	Sertoli-Leydig cell tumor, retiform	859-867	Specialized gonadal neoplasms
8634/1	Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements	859-867	Specialized gonadal neoplasms
8634/3	Sertoli-Leydig cell tumor, poorly differentiated, with heterologous elements	859-867	Specialized gonadal neoplasms
8640/1	Sertoli cell tumor, NOS	859-867	Specialized gonadal neoplasms
8640/3	Sertoli cell carcinoma	859-867	Specialized gonadal neoplasms
8641/0	Sertoli cell tumor with lipid storage	859-867	Specialized gonadal neoplasms
8642/1	Large cell calcifying Sertoli cell tumor	859-867	Specialized gonadal neoplasms
8643/1	Intratubular large cell hyalinizing Sertoli cell neoplasia	859-867	Specialized gonadal neoplasms
8650/0	Leydig cell tumor of the ovary, NOS	859-867	Specialized gonadal neoplasms
8650/1	Leydig cell tumor of the testis, NOS	859-867	Specialized gonadal neoplasms
8650/3	Leydig cell tumor, malignant	859-867	Specialized gonadal neoplasms
8660/0	Hilus cell tumor	859-867	Specialized gonadal neoplasms
8670/0	Lipid cell tumor of ovary	859-867	Specialized gonadal neoplasms
8670/3	Steroid cell tumor, malignant	859-867	Specialized gonadal neoplasms
8671/0	Adrenal rest tumor	859-867	Specialized gonadal neoplasms
8680/3	Paraganglioma, NOS	868-871	Paragangliomas and glomus tumors
8681/3	Sympathetic paraganglioma	868-871	Paragangliomas and glomus tumors
8682/3	Parasympathetic paraganglioma	868-871	Paragangliomas and glomus tumors
8683/0	Gangliocytic paraganglioma	868-871	Paragangliomas and glomus tumors
8690/3	Middle ear paraganglioma	868-871	Paragangliomas and glomus tumors
8691/3	Aortic body tumor	868-871	Paragangliomas and glomus tumors
8692/3	Carotid body paraganglioma	868-871	Paragangliomas and glomus tumors
8693/3	Extra-adrenal paraganglioma, NOS	868-871	Paragangliomas and glomus tumors
8700/3	Pheochromocytoma, NOS	868-871	Paragangliomas and glomus tumors
8710/3	Glomangiosarcoma	868-871	Paragangliomas and glomus tumors
8711/0	Glomus tumor, NOS	868-871	Paragangliomas and glomus tumors
8711/1	Glomangiomatosis	868-871	Paragangliomas and glomus tumors
8711/3	Glomus tumor, malignant	868-871	Paragangliomas and glomus tumors
8712/0	Glomangioma	868-871	Paragangliomas and glomus tumors
8713/0	Glomangiomyoma	868-871	Paragangliomas and glomus tumors
8714/0	Perivascular epithelioid tumor, benign	868-871	Paragangliomas and glomus tumors
8714/3	Perivascular epithelioid tumor, malignant	868-871	Paragangliomas and glomus tumors
8720/0	Pigmented nevus, NOS	872-879	Nevi and melanomas
8720/2	Melanoma in situ	872-879	Nevi and melanomas
8720/3	Malignant melanoma, NOS	872-879	Nevi and melanomas
8721/3	Nodular melanoma	872-879	Nevi and melanomas
8722/0	Balloon cell nevus	872-879	Nevi and melanomas
8722/3	Balloon cell melanoma	872-879	Nevi and melanomas
8723/0	Halo nevus	872-879	Nevi and melanomas
8723/3	Malignant melanoma, regressing	872-879	Nevi and melanomas
8725/0	Neuronevus	872-879	Nevi and melanomas
8726/0	Magnocellular nevus	872-879	Nevi and melanomas
8727/0	Dysplastic nevus	872-879	Nevi and melanomas
8728/0	Meningeal melanocytosis	872-879	Nevi and melanomas
8728/1	Meningeal melanocytoma	872-879	Nevi and melanomas
8728/3	Meningeal melanomatosis	872-879	Nevi and melanomas
8730/0	Nonpigmented nevus	872-879	Nevi and melanomas
8730/3	Amelanotic melanoma	872-879	Nevi and melanomas
8740/0	Junctional nevus, NOS	872-879	Nevi and melanomas
8740/3	Malignant melanoma in junctional nevus	872-879	Nevi and melanomas
8741/2	Precancerous melanosis, NOS	872-879	Nevi and melanomas
8741/3	Malignant melanoma in precancerous melanosis	872-879	Nevi and melanomas
8742/0	Lentiginous melanocytic nevus	872-879	Nevi and melanomas
8742/2	Lentigo maligna	872-879	Nevi and melanomas
8742/3	Lentigo maligna melanoma	872-879	Nevi and melanomas
8743/3	Low cumulative sun damage melanoma	872-879	Nevi and melanomas
8744/0	Acral nevus	872-879	Nevi and melanomas
8744/3	Acral melanoma	872-879	Nevi and melanomas
8745/3	Desmoplastic melanoma	872-879	Nevi and melanomas
8746/3	Mucosal lentiginous melanoma	872-879	Nevi and melanomas
8750/0	Dermal nevus	872-879	Nevi and melanomas
8760/0	Compound nevus	872-879	Nevi and melanomas
8761/0	Congenital melanocytic nevus, NOS	872-879	Nevi and melanomas
8761/1	Giant pigmented nevus, NOS	872-879	Nevi and melanomas
8761/3	Malignant melanoma arising in giant congenital nevus	872-879	Nevi and melanomas
8762/1	Proliferative dermal lesion in congenital nevus	872-879	Nevi and melanomas
8770/0	Epithelioid and spindle cell nevus	872-879	Nevi and melanomas
8770/3	Malignant Spitz tumor	872-879	Nevi and melanomas
8771/0	Epithelioid cell nevus	872-879	Nevi and melanomas
8771/3	Epithelioid cell melanoma	872-879	Nevi and melanomas
8772/0	Spindle cell nevus, NOS	872-879	Nevi and melanomas
8772/3	Spindle cell melanoma, NOS	872-879	Nevi and melanomas
8773/3	Spindle cell melanoma, type A	872-879	Nevi and melanomas
8774/3	Spindle cell melanoma, type B	872-879	Nevi and melanomas
8780/0	Blue nevus, NOS	872-879	Nevi and melanomas
8780/1	Pigmented epithelioid melanocytoma	872-879	Nevi and melanomas
8780/3	Blue nevus, malignant	872-879	Nevi and melanomas
8790/0	Cellular blue nevus	872-879	Nevi and melanomas
8800/0	Soft tissue tumor, benign	880	Soft tissue tumors and sarcomas, NOS
8800/3	Sarcoma, NOS	880	Soft tissue tumors and sarcomas, NOS
8800/9	Sarcomatosis, NOS	880	Soft tissue tumors and sarcomas, NOS
8801/3	Spindle cell sarcoma	880	Soft tissue tumors and sarcomas, NOS
8802/1	Pleomorphic hyalinizing angiectatic tumor	880	Soft tissue tumors and sarcomas, NOS
8802/3	Giant cell sarcoma	880	Soft tissue tumors and sarcomas, NOS
8803/3	Small cell sarcoma	880	Soft tissue tumors and sarcomas, NOS
8804/3	Epithelioid sarcoma	880	Soft tissue tumors and sarcomas, NOS
8805/3	Undifferentiated sarcoma	880	Soft tissue tumors and sarcomas, NOS
8806/3	Desmoplastic small round cell tumor	880	Soft tissue tumors and sarcomas, NOS
8810/0	Fibroma, NOS	881-883	Fibromatous neoplasms
8810/1	Cellular fibroma	881-883	Fibromatous neoplasms
8810/3	Fibrosarcoma, NOS	881-883	Fibromatous neoplasms
8811/0	Fibromyxoma, NOS	881-883	Fibromatous neoplasms
8811/1	Myxoinflammatory fibroblastic sarcoma	881-883	Fibromatous neoplasms
8811/3	Myxofibrosarcoma	881-883	Fibromatous neoplasms
8812/0	Periosteal fibroma	881-883	Fibromatous neoplasms
8812/3	Periosteal fibrosarcoma	881-883	Fibromatous neoplasms
8813/0	Fibroma of tendon sheath	881-883	Fibromatous neoplasms
8813/1	Palmar/plantar type fibromatosis	881-883	Fibromatous neoplasms
8813/3	Fascial fibrosarcoma	881-883	Fibromatous neoplasms
8814/3	Infantile fibrosarcoma	881-883	Fibromatous neoplasms
8815/0	Solitary fibrous tumor/Hemangiopericytoma, grade 1	881-883	Fibromatous neoplasms
8815/1	Solitary fibrous tumor, NOS	881-883	Fibromatous neoplasms
8815/3	Solitary fibrous tumor, malignant	881-883	Fibromatous neoplasms
8816/0	Calcifying aponeurotic fibroma	881-883	Fibromatous neoplasms
8817/0	Calcifying fibrous tumor	881-883	Fibromatous neoplasms
8818/0	Fibrous dysplasia	881-883	Fibromatous neoplasms
8820/0	Elastofibroma	881-883	Fibromatous neoplasms
8821/1	Aggressive fibromatosis	881-883	Fibromatous neoplasms
8822/1	Abdominal fibromatosis	881-883	Fibromatous neoplasms
8823/0	Sclerotic fibroma	881-883	Fibromatous neoplasms
8823/1	Desmoplastic fibroma	881-883	Fibromatous neoplasms
8824/0	Myofibroma	881-883	Fibromatous neoplasms
8824/1	Myofibromatosis	881-883	Fibromatous neoplasms
8825/0	Myofibroblastoma	881-883	Fibromatous neoplasms
8825/1	Myofibroblastic tumor, NOS	881-883	Fibromatous neoplasms
8825/3	Myofibroblastic sarcoma	881-883	Fibromatous neoplasms
8826/0	Angiomyofibroblastoma	881-883	Fibromatous neoplasms
8827/1	Myofibroblastic tumor, peribronchial	881-883	Fibromatous neoplasms
8828/0	Nodular fasciitis	881-883	Fibromatous neoplasms
8830/0	Benign fibrous histiocytoma, NOS	881-883	Fibromatous neoplasms
8830/1	Atypical fibrous histiocytoma	881-883	Fibromatous neoplasms
8830/3	Malignant fibrous histiocytoma	881-883	Fibromatous neoplasms
8831/0	Histiocytoma, NOS	881-883	Fibromatous neoplasms
8832/0	Dermatofibroma, NOS	881-883	Fibromatous neoplasms
8832/1	Dermatofibrosarcoma protuberans, NOS	881-883	Fibromatous neoplasms
8832/3	Dermatofibrosarcoma protuberans, fibrosarcomatous	881-883	Fibromatous neoplasms
8833/1	Pigmented dermatofibrosarcoma protuberans	881-883	Fibromatous neoplasms
8834/1	Giant cell fibroblastoma	881-883	Fibromatous neoplasms
8835/1	Plexiform fibrohistiocytic tumor	881-883	Fibromatous neoplasms
8836/1	Angiomatoid fibrous histiocytoma	881-883	Fibromatous neoplasms
8840/0	Myxoma, NOS	884	Myxomatous neoplasms
8840/3	Myxosarcoma	884	Myxomatous neoplasms
8841/0	Angiomyxoma, NOS	884	Myxomatous neoplasms
8842/0	Ossifying fibromyxoid tumor, NOS	884	Myxomatous neoplasms
8842/3	Ossifying fibromyxoid tumor, malignant	884	Myxomatous neoplasms
8850/0	Lipoma, NOS	885-888	Lipomatous neoplasms
8850/1	Atypical lipomatous tumor	885-888	Lipomatous neoplasms
8850/3	Liposarcoma, NOS	885-888	Lipomatous neoplasms
8851/0	Fibrolipoma	885-888	Lipomatous neoplasms
8851/1	Lipofibromatosis	885-888	Lipomatous neoplasms
8851/3	Liposarcoma, well differentiated, NOS	885-888	Lipomatous neoplasms
8852/0	Fibromyxolipoma	885-888	Lipomatous neoplasms
8852/3	Myxoid liposarcoma	885-888	Lipomatous neoplasms
8853/3	Round cell liposarcoma	885-888	Lipomatous neoplasms
8854/0	Pleomorphic lipoma	885-888	Lipomatous neoplasms
8854/3	Pleomorphic liposarcoma	885-888	Lipomatous neoplasms
8855/3	Mixed liposarcoma	885-888	Lipomatous neoplasms
8856/0	Intramuscular lipoma	885-888	Lipomatous neoplasms
8857/0	Spindle cell lipoma	885-888	Lipomatous neoplasms
8857/3	Fibroblastic liposarcoma	885-888	Lipomatous neoplasms
8858/3	Dedifferentiated liposarcoma	885-888	Lipomatous neoplasms
8860/0	Angiomyolipoma	885-888	Lipomatous neoplasms
8860/1	Angiomyolipoma, epithelioid	885-888	Lipomatous neoplasms
8861/0	Angiolipoma, NOS	885-888	Lipomatous neoplasms
8862/0	Chondroid lipoma	885-888	Lipomatous neoplasms
8870/0	Myelolipoma	885-888	Lipomatous neoplasms
8880/0	Hibernoma	885-888	Lipomatous neoplasms
8881/0	Lipoblastomatosis	885-888	Lipomatous neoplasms
8890/0	Leiomyoma, NOS	889-892	Myomatous neoplasms
8890/1	Leiomyomatosis, NOS	889-892	Myomatous neoplasms
8890/3	Leiomyosarcoma, NOS	889-892	Myomatous neoplasms
8891/0	Epithelioid leiomyoma	889-892	Myomatous neoplasms
8891/3	Epithelioid leiomyosarcoma	889-892	Myomatous neoplasms
8892/0	Cellular leiomyoma	889-892	Myomatous neoplasms
8893/0	Bizarre leiomyoma	889-892	Myomatous neoplasms
8894/0	Angioleiomyoma	889-892	Myomatous neoplasms
8894/3	Angiomyosarcoma	889-892	Myomatous neoplasms
8895/0	Myoma	889-892	Myomatous neoplasms
8895/3	Myosarcoma	889-892	Myomatous neoplasms
8896/0	Myxoid leiomyoma	889-892	Myomatous neoplasms
8896/3	Myxoid leiomyosarcoma	889-892	Myomatous neoplasms
8897/1	Smooth muscle tumor of uncertain malignant potential	889-892	Myomatous neoplasms
8898/1	Metastasizing leiomyoma	889-892	Myomatous neoplasms
8900/0	Rhabdomyoma, NOS	889-892	Myomatous neoplasms
8900/3	Rhabdomyosarcoma, NOS	889-892	Myomatous neoplasms
8901/3	Pleomorphic rhabdomyosarcoma, adult type	889-892	Myomatous neoplasms
8902/3	Mixed type rhabdomyosarcoma	889-892	Myomatous neoplasms
8903/0	Fetal rhabdomyoma	889-892	Myomatous neoplasms
8904/0	Adult cellular rhabdomyoma	889-892	Myomatous neoplasms
8905/0	Genital rhabdomyoma	889-892	Myomatous neoplasms
8910/3	Embryonal rhabdomyosarcoma, NOS	889-892	Myomatous neoplasms
8912/3	Spindle cell rhabdomyosarcoma	889-892	Myomatous neoplasms
8920/3	Alveolar rhabdomyosarcoma	889-892	Myomatous neoplasms
8921/3	Ectomesenchymoma	889-892	Myomatous neoplasms
8930/0	Endometrial stromal nodule	893-899	Complex mixed and stromal neoplasms
8930/3	Endometrial stromal sarcoma, NOS	893-899	Complex mixed and stromal neoplasms
8931/3	Endometrial stromal sarcoma, low grade	893-899	Complex mixed and stromal neoplasms
8932/0	Adenomyoma, NOS	893-899	Complex mixed and stromal neoplasms
8933/3	Adenosarcoma	893-899	Complex mixed and stromal neoplasms
8934/3	Carcinofibroma	893-899	Complex mixed and stromal neoplasms
8935/0	Stromal tumor, benign	893-899	Complex mixed and stromal neoplasms
8935/1	Stromal tumor, NOS	893-899	Complex mixed and stromal neoplasms
8935/3	Stromal sarcoma, NOS	893-899	Complex mixed and stromal neoplasms
8936/3	Gastrointestinal stromal tumor	893-899	Complex mixed and stromal neoplasms
8940/0	Pleomorphic adenoma	893-899	Complex mixed and stromal neoplasms
8940/3	Mixed tumor, malignant, NOS	893-899	Complex mixed and stromal neoplasms
8941/3	Carcinoma ex pleomorphic adenoma	893-899	Complex mixed and stromal neoplasms
8950/3	Mullerian mixed tumor	893-899	Complex mixed and stromal neoplasms
8951/3	Mesodermal mixed tumor	893-899	Complex mixed and stromal neoplasms
8959/0	Benign cystic nephroma	893-899	Complex mixed and stromal neoplasms
8959/1	Cystic partially differentiated nephroblastoma	893-899	Complex mixed and stromal neoplasms
8959/3	Malignant cystic nephroma	893-899	Complex mixed and stromal neoplasms
8960/1	Mesoblastic nephroma	893-899	Complex mixed and stromal neoplasms
8960/3	Nephroblastoma, NOS	893-899	Complex mixed and stromal neoplasms
8963/3	Rhabdoid tumor, NOS	893-899	Complex mixed and stromal neoplasms
8964/3	Clear cell sarcoma of kidney	893-899	Complex mixed and stromal neoplasms
8966/0	Renomedullary interstitial cell tumor	893-899	Complex mixed and stromal neoplasms
8967/0	Ossifying renal tumor	893-899	Complex mixed and stromal neoplasms
8970/3	Hepatoblastoma, NOS	893-899	Complex mixed and stromal neoplasms
8971/3	Pancreatoblastoma	893-899	Complex mixed and stromal neoplasms
8972/3	Pulmonary blastoma	893-899	Complex mixed and stromal neoplasms
8973/3	Pleuropulmonary blastoma	893-899	Complex mixed and stromal neoplasms
8974/1	Sialoblastoma	893-899	Complex mixed and stromal neoplasms
8975/1	Calcifying nested stromal-epithelial tumor	893-899	Complex mixed and stromal neoplasms
8980/3	Carcinosarcoma, NOS	893-899	Complex mixed and stromal neoplasms
8981/3	Carcinosarcoma, embryonal	893-899	Complex mixed and stromal neoplasms
8982/0	Myoepithelioma, NOS	893-899	Complex mixed and stromal neoplasms
8982/3	Myoepithelial carcinoma	893-899	Complex mixed and stromal neoplasms
8983/0	Adenomyoepithelioma, NOS	893-899	Complex mixed and stromal neoplasms
8983/3	Adenomyoepithelioma with carcinoma	893-899	Complex mixed and stromal neoplasms
8990/0	Mesenchymoma, benign	893-899	Complex mixed and stromal neoplasms
8990/1	Mesenchymoma, NOS	893-899	Complex mixed and stromal neoplasms
8990/3	Mesenchymoma, malignant	893-899	Complex mixed and stromal neoplasms
8991/3	Embryonal sarcoma	893-899	Complex mixed and stromal neoplasms
8992/0	Pulmonary hamartoma	893-899	Complex mixed and stromal neoplasms
9000/0	Brenner tumor, NOS	900-903	Fibroepithelial neoplasms
9000/1	Brenner tumor, borderline malignancy	900-903	Fibroepithelial neoplasms
9000/3	Brenner tumor, malignant	900-903	Fibroepithelial neoplasms
9010/0	Fibroadenoma, NOS	900-903	Fibroepithelial neoplasms
9011/0	Intracanalicular fibroadenoma	900-903	Fibroepithelial neoplasms
9012/0	Pericanalicular fibroadenoma	900-903	Fibroepithelial neoplasms
9013/0	Adenofibroma, NOS	900-903	Fibroepithelial neoplasms
9014/0	Serous adenofibroma, NOS	900-903	Fibroepithelial neoplasms
9014/1	Serous adenofibroma of borderline malignancy	900-903	Fibroepithelial neoplasms
9014/3	Serous adenocarcinofibroma	900-903	Fibroepithelial neoplasms
9015/0	Mucinous adenofibroma, NOS	900-903	Fibroepithelial neoplasms
9015/1	Mucinous adenofibroma of borderline malignancy	900-903	Fibroepithelial neoplasms
9015/3	Mucinous adenocarcinofibroma	900-903	Fibroepithelial neoplasms
9016/0	Giant fibroadenoma	900-903	Fibroepithelial neoplasms
9020/0	Phyllodes tumor, benign	900-903	Fibroepithelial neoplasms
9020/1	Phyllodes tumor, borderline	900-903	Fibroepithelial neoplasms
9020/3	Phyllodes tumor, malignant	900-903	Fibroepithelial neoplasms
9030/0	Juvenile fibroadenoma	900-903	Fibroepithelial neoplasms
9040/0	Synovioma, benign	904	Synovial-like neoplasms
9040/3	Synovial sarcoma, NOS	904	Synovial-like neoplasms
9041/3	Synovial sarcoma, spindle cell	904	Synovial-like neoplasms
9042/3	Synovial sarcoma, epithelioid cell	904	Synovial-like neoplasms
9043/3	Synovial sarcoma, biphasic	904	Synovial-like neoplasms
9044/3	Clear cell sarcoma, NOS	904	Synovial-like neoplasms
9045/3	Biphenotypic sinonasal sarcoma	904	Synovial-like neoplasms
9050/0	Mesothelioma, benign	905	Mesothelial neoplasms
9050/3	Mesothelioma, malignant	905	Mesothelial neoplasms
9051/0	Fibrous mesothelioma, benign	905	Mesothelial neoplasms
9051/3	Fibrous mesothelioma, malignant	905	Mesothelial neoplasms
9052/0	Epithelioid mesothelioma, benign	905	Mesothelial neoplasms
9052/1	Well differentiated papillary mesothelioma of the pleura	905	Mesothelial neoplasms
9052/3	Epithelioid mesothelioma, malignant	905	Mesothelial neoplasms
9053/3	Mesothelioma, biphasic, malignant	905	Mesothelial neoplasms
9054/0	Adenomatoid tumor, NOS	905	Mesothelial neoplasms
9055/0	Peritoneal inclusion cysts	905	Mesothelial neoplasms
9060/3	Dysgerminoma	906-909	Germ cell neoplasms
9061/3	Seminoma, NOS	906-909	Germ cell neoplasms
9062/3	Seminoma, anaplastic	906-909	Germ cell neoplasms
9063/3	Spermatocytic seminoma	906-909	Germ cell neoplasms
9064/2	Intratubular malignant germ cells	906-909	Germ cell neoplasms
9064/3	Germinoma	906-909	Germ cell neoplasms
9065/3	Germ cell tumor, nonseminomatous	906-909	Germ cell neoplasms
9070/3	Embryonal carcinoma, NOS	906-909	Germ cell neoplasms
9071/3	Yolk sac tumor, NOS	906-909	Germ cell neoplasms
9072/3	Polyembryoma	906-909	Germ cell neoplasms
9073/1	Gonadoblastoma	906-909	Germ cell neoplasms
9080/0	Teratoma, benign	906-909	Germ cell neoplasms
9080/1	Teratoma, NOS	906-909	Germ cell neoplasms
9080/3	Teratoma, malignant, NOS	906-909	Germ cell neoplasms
9081/3	Teratocarcinoma	906-909	Germ cell neoplasms
9082/3	Malignant teratoma, undifferentiated	906-909	Germ cell neoplasms
9083/3	Malignant teratoma, intermediate	906-909	Germ cell neoplasms
9084/0	Dermoid cyst, NOS	906-909	Germ cell neoplasms
9084/3	Teratoma with malignant transformation	906-909	Germ cell neoplasms
9085/3	Mixed germ cell tumor	906-909	Germ cell neoplasms
9086/3	Germ cell tumor with associated hematological malignancy	906-909	Germ cell neoplasms
9090/0	Struma ovarii, NOS	906-909	Germ cell neoplasms
9090/3	Struma ovarii, malignant	906-909	Germ cell neoplasms
9091/1	Strumal carcinoid	906-909	Germ cell neoplasms
9100/0	Hydatidiform mole, NOS	910	Trophoblastic neoplasms
9100/1	Invasive hydatidiform mole	910	Trophoblastic neoplasms
9100/3	Choriocarcinoma, NOS	910	Trophoblastic neoplasms
9101/3	Choriocarcinoma combined with other germ cell elements	910	Trophoblastic neoplasms
9102/3	Malignant teratoma, trophoblastic	910	Trophoblastic neoplasms
9103/0	Partial hydatidiform mole	910	Trophoblastic neoplasms
9104/1	Placental site trophoblastic tumor	910	Trophoblastic neoplasms
9105/3	Trophoblastic tumor, epithelioid	910	Trophoblastic neoplasms
9110/0	Adenoma of rete ovarii	911	Mesonephromas
9110/1	Wolffian tumor	911	Mesonephromas
9110/3	Mesonephroma, malignant	911	Mesonephromas
9120/0	Hemangioma, NOS	912-916	Blood vessel tumors
