code	term	range	group
8070/2	Squamous cell carcinoma in situ, NOS	805-808	Squamous cell neoplasms
8070/2	Epidermoid carcinoma in situ, NOS	805-808	Squamous cell neoplasms
8070/2	Intraepidermal carcinoma, NOS	805-808	Squamous cell neoplasms
8070/2	Intraepithelial squamous cell carcinoma	805-808	Squamous cell neoplasms
8070/3	Squamous cell carcinoma, NOS	805-808	Squamous cell neoplasms
8070/3	Squamous cell carcinoma, usual type	805-808	Squamous cell neoplasms
8070/3	Epidermoid carcinoma, NOS	805-808	Squamous cell neoplasms
8070/3	Squamous carcinoma	805-808	Squamous cell neoplasms
8070/3	Squamous cell epithelioma	805-808	Squamous cell neoplasms
8070/6	Squamous cell carcinoma, metastatic, NOS	805-808	Squamous cell neoplasms
8071/2	Differentiated intraepithelial neoplasia	805-808	Squamous cell neoplasms
8071/3	Squamous cell carcinoma, keratinizing, NOS	805-808	Squamous cell neoplasms
8071/3	Epidermoid carcinoma, keratinizing	805-808	Squamous cell neoplasms
8071/3	Squamous cell carcinoma, large cell, keratinizing	805-808	Squamous cell neoplasms
8072/0	Large cell acanthoma	805-808	Squamous cell neoplasms
8072/3	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	805-808	Squamous cell neoplasms
8072/3	Epidermoid carcinoma, large cell, nonkeratinizing	805-808	Squamous cell neoplasms
8072/3	Squamous cell carcinoma, nonkeratinizing, NOS	805-808	Squamous cell neoplasms
8073/3	Squamous cell carcinoma, small cell, nonkeratinizing	805-808	Squamous cell neoplasms
8073/3	Epidermoid carcinoma, small cell, nonkeratinizing	805-808	Squamous cell neoplasms
8074/3	Squamous cell carcinoma, spindle cell	805-808	Squamous cell neoplasms
8074/3	Epidermoid carcinoma, spindle cell	805-808	Squamous cell neoplasms
8074/3	Squamous cell carcinoma, sarcomatoid	805-808	Squamous cell neoplasms
8075/3	Squamous cell carcinoma, adenoid	805-808	Squamous cell neoplasms
8075/3	Squamous cell carcinoma, acantholytic	805-808	Squamous cell neoplasms
8075/3	Squamous cell carcinoma, pseudoglandular	805-808	Squamous cell neoplasms
8076/2	Squamous cell carcinoma in situ with questionable stromal invasion	805-808	Squamous cell neoplasms
8076/2	Epidermoid carcinoma in situ with questionable stromal invasion	805-808	Squamous cell neoplasms
8076/3	Squamous cell carcinoma, microinvasive	805-808	Squamous cell neoplasms
8077/0	Squamous intraepithelial neoplasia, low grade	805-808	Squamous cell neoplasms
8077/0	Squamous intraepithelial neoplasia, grade I	805-808	Squamous cell neoplasms
8077/0	Low grade squamous intraepithelial lesion	805-808	Squamous cell neoplasms
8077/2	Squamous intraepithelial neoplasia, high grade	805-808	Squamous cell neoplasms
8077/2	Squamous intraepithelial neoplasia, grade II	805-808	Squamous cell neoplasms
8077/2	Squamous intraepithelial neoplasia, grade III	805-808	Squamous cell neoplasms
8077/2	Squamous dysplasia, high grade	805-808	Squamous cell neoplasms
8077/2	High grade squamous intraepithelial lesion	805-808	Squamous cell neoplasms
8077/2	AIN III	805-808	Squamous cell neoplasms
8077/2	CIN III, NOS	805-808	Squamous cell neoplasms
8077/2	CIN III with severe dysplasia	805-808	Squamous cell neoplasms
8077/2	VAIN III	805-808	Squamous cell neoplasms
8077/2	VIN III	805-808	Squamous cell neoplasms
8078/3	Squamous cell carcinoma with horn formation	805-808	Squamous cell neoplasms
8080/2	Queyrat erythroplasia	805-808	Squamous cell neoplasms
8081/2	Bowen disease	805-808	Squamous cell neoplasms
8081/2	Intraepidermal squamous cell carcinoma, Bowen type	805-808	Squamous cell neoplasms
8082/3	Lymphoepithelial carcinoma	805-808	Squamous cell neoplasms
8082/3	Lymphoepithelioma	805-808	Squamous cell neoplasms
8082/3	Lymphoepithelioma-like carcinoma	805-808	Squamous cell neoplasms
8083/3	Basaloid squamous cell carcinoma	805-808	Squamous cell neoplasms
8084/0	Clear cell acanthoma	805-808	Squamous cell neoplasms
8084/3	Squamous cell carcinoma, clear cell type	805-808	Squamous cell neoplasms
8085/3	Squamous cell carcinoma, HPV-positive	805-808	Squamous cell neoplasms
8086/3	Squamous cell carcinoma, HPV-negative	805-808	Squamous cell neoplasms
8090/1	Basal cell tumor	809-811	Basal cell neoplasms
8090/3	Basal cell carcinoma, NOS	809-811	Basal cell neoplasms
8090/3	Basal cell epithelioma	809-811	Basal cell neoplasms
8090/3	Rodent ulcer	809-811	Basal cell neoplasms
8091/3	Superficial basal cell carcinoma	809-811	Basal cell neoplasms
8091/3	Multifocal superficial basal cell carcinoma	809-811	Basal cell neoplasms
8091/3	Multicentric basal cell carcinoma	809-811	Basal cell neoplasms
8092/3	Infiltrating basal cell carcinoma, NOS	809-811	Basal cell neoplasms
